year,state,region,diabetes,kidney_disease,pulmonary_disease,obese,no_leisure,overweight,healthy_weight
2011,AK,West,7.9,5,5.2,27.4,22,66.3,32.3
2011,AL,South,11.8,2.7,9.6,32,32.6,66.7,31.3
2011,AR,South,10.4,3,8,30.9,30.9,64.9,32.8
2011,AZ,West,9.5,3.5,5.3,25.1,24.1,62.3,35.1
2011,CA,West,8.9,2.6,4.6,23.8,19.1,60.2,37.7
2011,CO,West,6.7,2.2,4.6,20.7,16.5,56.1,41.6
2011,CT,Northeast,9.3,1.9,6.1,24.5,25.5,59.6,38.4
2011,DC,South,9.1,2.7,4.6,23.7,19.8,52.9,45.4
2011,DE,South,9.7,2.5,5.2,28.8,27,63.8,34.6
2011,FL,South,10.4,3.2,7.9,26.6,26.9,63.3,34.9
2011,GA,South,10.2,2.8,7,28,26.7,62.7,35.3
2011,HI,West,8.4,3.3,4.4,21.8,21.3,55.7,41.6
2011,IA,Midwest,8.2,1.5,5.1,29,25.9,64.8,33.7
2011,ID,West,9.4,2.4,5.2,27,21.4,62.3,35.5
2011,IL,Midwest,9.7,2.8,6.1,27.1,25.1,64.1,34.1
2011,IN,Midwest,10.2,2.1,8.3,30.8,29.2,65.6,32.4
2011,KS,Midwest,9.5,2.3,6.6,29.6,26.8,64.4,33.8
2011,KY,South,10.8,2.5,9.8,30.4,29.3,66.5,31.6
2011,LA,South,11.8,2.6,6.9,33.4,33.8,67.6,30.6
2011,MA,Northeast,8,1.9,5.8,22.7,23.5,59.3,38.8
2011,MD,South,9.5,1.9,5.9,28.3,26.2,64.4,33.9
2011,ME,Northeast,9.6,2.4,7.8,27.8,23,65,33.4
2011,MI,Midwest,10,3,8,31.3,23.6,65.4,33
2011,MN,Midwest,7.3,1.7,4.1,25.7,21.9,62.4,35.8
2011,MO,Midwest,10.2,2.3,8.1,30.3,28.4,64.8,33.6
2011,MS,South,12.3,2.4,8.3,34.9,36,68.9,28.9
2011,MT,West,8,2.5,6,24.6,24.4,60.3,38.3
2011,NC,South,10.9,2.2,6.9,29.1,26.7,65.1,33.3
2011,ND,Midwest,8.2,1.9,4.7,27.8,27.1,63.8,34.5
2011,NE,Midwest,8.4,2.2,5,28.4,26.3,64.9,33.5
2011,NH,Northeast,8.7,2.4,6.4,26.2,22.5,61.6,36.5
2011,NJ,Northeast,8.8,2,5.1,23.7,26.4,61.5,36.8
2011,NM,West,9.9,3,6.2,26.3,25.3,62.2,35.5
2011,NV,West,10.3,2.5,7.3,24.5,24.3,60.2,37.2
2011,NY,Northeast,10.4,2.9,5.9,24.5,26.3,60.3,37.6
2011,OH,Midwest,10,2.5,7.7,29.6,27,65.9,32.4
2011,OK,South,11.1,3.1,8.6,31.1,31.2,65.4,32.6
2011,OR,West,9.3,2.4,5.9,26.7,19.8,61.5,36.4
2011,PA,Northeast,9.5,2.5,6.7,28.6,26.2,64.5,33.9
2011,RI,Northeast,8.4,2.3,6.3,25.4,26.2,62.4,36.3
2011,SC,South,12.1,2.2,7.6,30.8,27.2,65.9,32.3
2011,SD,Midwest,9.5,2,5.5,28.1,27,64.4,34.3
2011,TN,South,11.2,2.1,9.2,29.2,35.1,66.5,31.4
2011,TX,South,10.2,2.6,5.5,30.4,27.2,65.8,32.4
2011,UT,West,6.7,2.8,4,24.4,18.9,58.9,38.8
2011,VA,South,10.4,1.9,6.2,29.2,25,63.3,35.5
2011,VT,Northeast,7.7,2.2,5,25.4,21,59.8,38.6
2011,WA,West,8.9,2.3,4.1,26.5,22,61,37
2011,WI,Midwest,8.4,2.1,5.4,27.7,22.7,64,34.4
2011,WV,South,12,2.8,8.8,32.4,35.1,68.9,28.6
2011,WY,West,8.2,2.2,6.1,25,25.5,61.3,37
2012,AK,West,7,2.2,5.1,25.7,18.5,64.8,34.4
2012,AL,South,11.2,2.4,9.9,33,27.2,67.7,30.6
2012,AR,South,11.3,2.8,8.8,34.5,31.5,68.7,29.5
2012,AZ,West,10.6,3.7,6,26,22.6,62,35.6
2012,CA,West,9.8,2.5,4.6,25,19.2,60.3,37.8
2012,CO,West,7.4,1.9,4.8,20.5,17,55.7,42
2012,CT,Northeast,9.1,2.3,5.4,25.6,22.1,62.3,36.1
2012,DC,South,8.2,2.5,4.5,21.9,17.4,51.9,46
2012,DE,South,9.6,2.5,7.1,26.9,23.5,66,32.5
2012,FL,South,11.4,3.5,7.6,25.2,23.3,62.1,36.4
2012,GA,South,9.9,3.4,7.1,29.1,23.6,64.6,33.3
2012,HI,West,7.8,3.6,3.6,23.6,18.7,56,41.2
2012,IA,Midwest,8.8,2.1,6.2,30.4,23.1,64.7,33.5
